slug	tier	provenance-verified	public-record	override	verified/total-refs	catalog-kind	name
yoo-young-chul	curated	no	no	-	3/7	curated	Yoo Young-chul
yang-xinhai	curated	no	no	-	3/7	curated	Yang Xinhai
surinder-koli	curated	no	no	-	3/7	curated	Nithari serial murders
charles-sobhraj	curated	no	no	-	3/7	curated	Charles Sobhraj
adrian-lim	curated	no	no	-	1/4	curated	Adrian Lim (Toa Payoh murders)
chen-chin-hsing	curated	no	no	-	2/6	curated	Chen Chin-hsing (Taipei hostage crisis)
luis-garavito	curated	no	no	-	3/7	curated	Luis Garavito
pedro-rodrigues-filho	curated	no	no	-	3/7	curated	Pedro Rodrigues Filho
carlos-robledo-puch	curated	no	no	-	3/7	curated	Carlos Robledo Puch
adolfo-constanzo	curated	no	no	-	1/4	curated	Adolfo Constanzo cult murders
gracious-david-west	curated	no	no	-	3/7	curated	Gracious David-West
philip-onyancha	curated	no	no	-	3/7	curated	Philip Onyancha
sture-bergwall	verified	yes	yes	override	2/2	curated	Sture Bergwall (Thomas Quick)
peter-lundin	curated	no	no	-	1/4	curated	Peter Lundin
lake-bodom	curated	no	no	-	1/4	curated	Lake Bodom unsolved murders
david-bain	verified	yes	yes	override	1/1	curated	David Bain family murders
olga-heparnova	verified	yes	yes	override	1/1	curated	Olga Hepnarová
mona-fandey	curated	no	no	-	1/4	curated	Maznah Ismail (Mona Fandey)
amrozi-nurhasyim	curated	no	no	-	3/7	curated	Bali bombings (2002)
ramadan-mansour	curated	no	no	-	3/7	curated	Ramadan Mansour (Egypt)
julio-perez-silva	verified	yes	yes	override	1/1	curated	Julio Pérez Silva
abimael-guzman	curated	no	no	-	3/7	curated	Abimael Guzmán (Shining Path)
krzysztof-gawlik	verified	yes	yes	override	1/1	curated	Krzysztof Gawlik
werner-ferrari	verified	yes	yes	override	1/1	curated	Werner Ferrari
le-thanh-van	verified	yes	yes	override	1/1	curated	Lê Thanh Vân
juan-severino-mallari	verified	yes	yes	override	1/1	curated	Juan Severino Mallari
ion-rimaru	verified	yes	yes	override	1/1	curated	Ion Rîmaru
wayne-boden	curated	no	no	-	3/7	curated	Wayne Boden
anatoly-slivko	curated	no	no	-	3/7	curated	Anatoly Slivko
earle-nelson	curated	no	no	-	3/8	curated	Earle Nelson
bruno-ludke	curated	no	no	-	3/8	curated	Bruno Lüdke
medeni-oztas	verified	yes	yes	override	1/1	curated	Medeni Öztaş
archive-us-0001	composite	no	no	-	1/5	composite	Archival prosecution: CS-0001
archive-us-0002	composite	no	no	-	1/5	composite	Archival prosecution: CS-0002
archive-us-0003	composite	no	no	-	1/4	composite	Archival prosecution: CS-0003
archive-us-0004	composite	no	no	-	2/5	composite	Archival prosecution: CS-0004
archive-gb-0005	composite	no	no	-	2/6	composite	Archival prosecution: CS-0005
archive-gb-0006	composite	no	no	-	3/7	composite	Archival prosecution: CS-0006
archive-gb-0007	composite	no	no	-	1/4	composite	Archival prosecution: CS-0007
archive-ca-0008	composite	no	no	-	2/5	composite	Archival prosecution: CS-0008
archive-ca-0009	composite	no	no	-	1/4	composite	Archival prosecution: CS-0009
archive-au-0010	composite	no	no	-	1/4	composite	Unsolved matter: CS-0010
archive-au-0011	composite	no	no	-	1/5	composite	Archival prosecution: CS-0011
archive-de-0012	composite	no	no	-	1/5	composite	Archival prosecution: CS-0012
archive-de-0013	composite	no	no	-	2/5	composite	Archival prosecution: CS-0013
archive-fr-0014	composite	no	no	-	2/6	composite	Archival prosecution: CS-0014
archive-fr-0015	composite	no	no	-	3/7	composite	Archival prosecution: CS-0015
archive-it-0016	composite	no	no	-	1/4	composite	Archival prosecution: CS-0016
archive-it-0017	composite	no	no	-	2/5	composite	Archival prosecution: CS-0017
archive-es-0018	composite	no	no	-	1/4	composite	Archival prosecution: CS-0018
archive-es-0019	composite	no	no	-	1/4	composite	Archival prosecution: CS-0019
archive-nl-0020	composite	no	no	-	1/4	composite	Unsolved matter: CS-0020
archive-be-0021	composite	no	no	-	1/5	composite	Archival prosecution: CS-0021
archive-se-0022	composite	no	no	-	2/6	composite	Archival prosecution: CS-0022
archive-no-0023	composite	no	no	-	2/6	composite	Archival prosecution: CS-0023
archive-pl-0024	composite	no	no	-	3/7	composite	Archival prosecution: CS-0024
archive-pl-0025	composite	no	no	-	1/4	composite	Archival prosecution: CS-0025
archive-ru-0026	composite	no	no	-	2/5	composite	Archival prosecution: CS-0026
archive-ru-0027	composite	no	no	-	1/4	composite	Archival prosecution: CS-0027
archive-ua-0028	composite	no	no	-	1/4	composite	Archival prosecution: CS-0028
archive-ua-0029	composite	no	no	-	1/4	composite	Archival prosecution: CS-0029
archive-jp-0030	composite	no	no	-	1/4	composite	Unsolved matter: CS-0030
archive-jp-0031	composite	no	no	-	2/6	composite	Archival prosecution: CS-0031
archive-cn-0032	composite	no	no	-	2/7	composite	Archival prosecution: CS-0032
archive-cn-0033	composite	no	no	-	3/7	composite	Archival prosecution: CS-0033
archive-in-0034	composite	no	no	-	1/4	composite	Archival prosecution: CS-0034
archive-in-0035	composite	no	no	-	2/5	composite	Archival prosecution: CS-0035
archive-br-0036	composite	no	no	-	1/4	composite	Archival prosecution: CS-0036
archive-br-0037	composite	no	no	-	1/4	composite	Archival prosecution: CS-0037
archive-mx-0038	composite	no	no	-	1/4	composite	Archival prosecution: CS-0038
archive-mx-0039	composite	no	no	-	1/4	composite	Archival prosecution: CS-0039
archive-ar-0040	composite	no	no	-	2/5	composite	Unsolved matter: CS-0040
archive-za-0041	composite	no	no	-	2/7	composite	Archival prosecution: CS-0041
archive-ng-0042	composite	no	no	-	3/8	composite	Archival prosecution: CS-0042
archive-ke-0043	composite	no	no	-	1/4	composite	Archival prosecution: CS-0043
archive-tr-0044	composite	no	no	-	2/5	composite	Archival prosecution: CS-0044
archive-gr-0045	composite	no	no	-	1/4	composite	Archival prosecution: CS-0045
archive-ro-0046	composite	no	no	-	1/4	composite	Archival prosecution: CS-0046
archive-cz-0047	composite	no	no	-	1/4	composite	Archival prosecution: CS-0047
archive-hu-0048	composite	no	no	-	1/4	composite	Archival prosecution: CS-0048
archive-at-0049	composite	no	no	-	2/5	composite	Archival prosecution: CS-0049
archive-ch-0050	composite	no	no	-	2/6	composite	Unsolved matter: CS-0050
archive-pt-0051	composite	no	no	-	3/8	composite	Archival prosecution: CS-0051
archive-ie-0052	composite	no	no	-	1/5	composite	Archival prosecution: CS-0052
archive-fi-0053	composite	no	no	-	2/5	composite	Archival prosecution: CS-0053
archive-dk-0054	composite	no	no	-	1/4	composite	Archival prosecution: CS-0054
archive-nz-0055	composite	no	no	-	1/4	composite	Archival prosecution: CS-0055
archive-kr-0056	composite	no	no	-	1/4	composite	Archival prosecution: CS-0056
archive-th-0057	composite	no	no	-	1/4	composite	Archival prosecution: CS-0057
archive-vn-0058	composite	no	no	-	2/5	composite	Archival prosecution: CS-0058
archive-ph-0059	composite	no	no	-	2/6	composite	Archival prosecution: CS-0059
archive-id-0060	composite	no	no	-	3/7	composite	Unsolved matter: CS-0060
archive-my-0061	composite	no	no	-	1/5	composite	Archival prosecution: CS-0061
archive-sg-0062	composite	no	no	-	2/6	composite	Archival prosecution: CS-0062
archive-pk-0063	composite	no	no	-	1/4	composite	Archival prosecution: CS-0063
archive-ir-0064	composite	no	no	-	1/4	composite	Archival prosecution: CS-0064
archive-iq-0065	composite	no	no	-	1/4	composite	Archival prosecution: CS-0065
archive-il-0066	composite	no	no	-	1/4	composite	Archival prosecution: CS-0066
archive-eg-0067	composite	no	no	-	2/5	composite	Archival prosecution: CS-0067
archive-cl-0068	composite	no	no	-	2/6	composite	Archival prosecution: CS-0068
archive-co-0069	composite	no	no	-	3/7	composite	Archival prosecution: CS-0069
archive-pe-0070	composite	no	no	-	1/4	composite	Unsolved matter: CS-0070
archive-bd-0071	composite	no	no	-	2/6	composite	Archival prosecution: CS-0071
archive-lv-0072	composite	no	no	-	1/5	composite	Archival prosecution: CS-0072
archive-sk-0073	composite	no	no	-	1/4	composite	Archival prosecution: CS-0073
archive-rs-0074	composite	no	no	-	1/4	composite	Archival prosecution: CS-0074
archive-bg-0075	composite	no	no	-	1/4	composite	Archival prosecution: CS-0075
archive-tw-0076	composite	no	no	-	2/5	composite	Archival prosecution: CS-0076
archive-uz-0077	composite	no	no	-	2/6	composite	Archival prosecution: CS-0077
archive-sa-0078	composite	no	no	-	3/7	composite	Archival prosecution: CS-0078
archive-et-0079	composite	no	no	-	1/4	composite	Archival prosecution: CS-0079
archive-us-0080	composite	no	no	-	2/5	composite	Unsolved matter: CS-0080
archive-us-0081	composite	no	no	-	1/5	composite	Archival prosecution: CS-0081
archive-us-0082	composite	no	no	-	1/5	composite	Archival prosecution: CS-0082
archive-us-0083	composite	no	no	-	1/4	composite	Archival prosecution: CS-0083
archive-us-0084	composite	no	no	-	1/4	composite	Archival prosecution: CS-0084
archive-gb-0085	composite	no	no	-	2/5	composite	Archival prosecution: CS-0085
archive-gb-0086	composite	no	no	-	2/6	composite	Archival prosecution: CS-0086
archive-gb-0087	composite	no	no	-	3/7	composite	Archival prosecution: CS-0087
archive-ca-0088	composite	no	no	-	1/4	composite	Archival prosecution: CS-0088
archive-ca-0089	composite	no	no	-	2/5	composite	Archival prosecution: CS-0089
archive-au-0090	composite	no	no	-	1/4	composite	Unsolved matter: CS-0090
archive-au-0091	composite	no	no	-	1/5	composite	Archival prosecution: CS-0091
archive-de-0092	composite	no	no	-	1/5	composite	Archival prosecution: CS-0092
archive-de-0093	composite	no	no	-	1/4	composite	Archival prosecution: CS-0093
archive-fr-0094	composite	no	no	-	2/5	composite	Archival prosecution: CS-0094
archive-fr-0095	composite	no	no	-	2/6	composite	Archival prosecution: CS-0095
archive-it-0096	composite	no	no	-	3/7	composite	Archival prosecution: CS-0096
archive-it-0097	composite	no	no	-	1/4	composite	Archival prosecution: CS-0097
archive-es-0098	composite	no	no	-	2/5	composite	Archival prosecution: CS-0098
archive-es-0099	composite	no	no	-	1/4	composite	Archival prosecution: CS-0099
archive-nl-0100	composite	no	no	-	1/4	composite	Unsolved matter: CS-0100
archive-be-0101	composite	no	no	-	1/5	composite	Archival prosecution: CS-0101
archive-se-0102	composite	no	no	-	1/5	composite	Archival prosecution: CS-0102
archive-no-0103	composite	no	no	-	2/5	composite	Archival prosecution: CS-0103
archive-pl-0104	composite	no	no	-	2/6	composite	Archival prosecution: CS-0104
archive-pl-0105	composite	no	no	-	3/7	composite	Archival prosecution: CS-0105
archive-ru-0106	composite	no	no	-	1/4	composite	Archival prosecution: CS-0106
archive-ru-0107	composite	no	no	-	2/5	composite	Archival prosecution: CS-0107
archive-ua-0108	composite	no	no	-	1/4	composite	Archival prosecution: CS-0108
archive-ua-0109	composite	no	no	-	1/4	composite	Archival prosecution: CS-0109
archive-jp-0110	composite	no	no	-	1/4	composite	Unsolved matter: CS-0110
archive-jp-0111	composite	no	no	-	1/5	composite	Archival prosecution: CS-0111
archive-cn-0112	composite	no	no	-	2/6	composite	Archival prosecution: CS-0112
archive-cn-0113	composite	no	no	-	2/6	composite	Archival prosecution: CS-0113
archive-in-0114	composite	no	no	-	3/7	composite	Archival prosecution: CS-0114
archive-in-0115	composite	no	no	-	1/4	composite	Archival prosecution: CS-0115
archive-br-0116	composite	no	no	-	2/5	composite	Archival prosecution: CS-0116
archive-br-0117	composite	no	no	-	1/4	composite	Archival prosecution: CS-0117
archive-mx-0118	composite	no	no	-	1/4	composite	Archival prosecution: CS-0118
archive-mx-0119	composite	no	no	-	1/4	composite	Archival prosecution: CS-0119
archive-ar-0120	composite	no	no	-	1/4	composite	Unsolved matter: CS-0120
archive-za-0121	composite	no	no	-	2/6	composite	Archival prosecution: CS-0121
archive-ng-0122	composite	no	no	-	2/7	composite	Archival prosecution: CS-0122
archive-ke-0123	composite	no	no	-	3/7	composite	Archival prosecution: CS-0123
archive-tr-0124	composite	no	no	-	1/4	composite	Archival prosecution: CS-0124
archive-gr-0125	composite	no	no	-	2/5	composite	Archival prosecution: CS-0125
archive-ro-0126	composite	no	no	-	1/4	composite	Archival prosecution: CS-0126
archive-cz-0127	composite	no	no	-	1/4	composite	Archival prosecution: CS-0127
archive-hu-0128	composite	no	no	-	1/4	composite	Archival prosecution: CS-0128
archive-at-0129	composite	no	no	-	1/4	composite	Archival prosecution: CS-0129
archive-ch-0130	composite	no	no	-	2/5	composite	Unsolved matter: CS-0130
archive-pt-0131	composite	no	no	-	2/7	composite	Archival prosecution: CS-0131
archive-ie-0132	composite	no	no	-	3/8	composite	Archival prosecution: CS-0132
archive-fi-0133	composite	no	no	-	1/4	composite	Archival prosecution: CS-0133
archive-dk-0134	composite	no	no	-	2/5	composite	Archival prosecution: CS-0134
archive-nz-0135	composite	no	no	-	1/4	composite	Archival prosecution: CS-0135
archive-kr-0136	composite	no	no	-	1/4	composite	Archival prosecution: CS-0136
archive-th-0137	composite	no	no	-	1/4	composite	Archival prosecution: CS-0137
archive-vn-0138	composite	no	no	-	1/4	composite	Archival prosecution: CS-0138
archive-ph-0139	composite	no	no	-	2/5	composite	Archival prosecution: CS-0139
archive-id-0140	composite	no	no	-	2/6	composite	Unsolved matter: CS-0140
archive-my-0141	composite	no	no	-	3/8	composite	Archival prosecution: CS-0141
archive-sg-0142	composite	no	no	-	1/5	composite	Archival prosecution: CS-0142
archive-pk-0143	composite	no	no	-	2/5	composite	Archival prosecution: CS-0143
archive-ir-0144	composite	no	no	-	1/4	composite	Archival prosecution: CS-0144
archive-iq-0145	composite	no	no	-	1/4	composite	Archival prosecution: CS-0145
archive-il-0146	composite	no	no	-	1/4	composite	Archival prosecution: CS-0146
archive-eg-0147	composite	no	no	-	1/4	composite	Archival prosecution: CS-0147
archive-cl-0148	composite	no	no	-	2/5	composite	Archival prosecution: CS-0148
archive-co-0149	composite	no	no	-	2/6	composite	Archival prosecution: CS-0149
archive-pe-0150	composite	no	no	-	3/7	composite	Unsolved matter: CS-0150
archive-bd-0151	composite	no	no	-	1/5	composite	Archival prosecution: CS-0151
archive-lv-0152	composite	no	no	-	2/6	composite	Archival prosecution: CS-0152
archive-sk-0153	composite	no	no	-	1/4	composite	Archival prosecution: CS-0153
archive-rs-0154	composite	no	no	-	1/4	composite	Archival prosecution: CS-0154
archive-bg-0155	composite	no	no	-	1/4	composite	Archival prosecution: CS-0155
archive-tw-0156	composite	no	no	-	1/4	composite	Archival prosecution: CS-0156
archive-uz-0157	composite	no	no	-	2/5	composite	Archival prosecution: CS-0157
archive-sa-0158	composite	no	no	-	2/6	composite	Archival prosecution: CS-0158
archive-et-0159	composite	no	no	-	3/7	composite	Archival prosecution: CS-0159
archive-us-0160	composite	no	no	-	1/4	composite	Unsolved matter: CS-0160
archive-us-0161	composite	no	no	-	2/6	composite	Archival prosecution: CS-0161
archive-us-0162	composite	no	no	-	1/5	composite	Archival prosecution: CS-0162
archive-us-0163	composite	no	no	-	1/4	composite	Archival prosecution: CS-0163
archive-us-0164	composite	no	no	-	1/4	composite	Archival prosecution: CS-0164
archive-gb-0165	composite	no	no	-	1/4	composite	Archival prosecution: CS-0165
archive-gb-0166	composite	no	no	-	2/5	composite	Archival prosecution: CS-0166
archive-gb-0167	composite	no	no	-	2/6	composite	Archival prosecution: CS-0167
archive-ca-0168	composite	no	no	-	3/7	composite	Archival prosecution: CS-0168
archive-ca-0169	composite	no	no	-	1/4	composite	Archival prosecution: CS-0169
archive-au-0170	composite	no	no	-	2/5	composite	Unsolved matter: CS-0170
archive-au-0171	composite	no	no	-	1/5	composite	Archival prosecution: CS-0171
archive-de-0172	composite	no	no	-	1/5	composite	Archival prosecution: CS-0172
archive-de-0173	composite	no	no	-	1/4	composite	Archival prosecution: CS-0173
archive-fr-0174	composite	no	no	-	1/4	composite	Archival prosecution: CS-0174
archive-fr-0175	composite	no	no	-	2/5	composite	Archival prosecution: CS-0175
archive-it-0176	composite	no	no	-	2/6	composite	Archival prosecution: CS-0176
archive-it-0177	composite	no	no	-	3/7	composite	Archival prosecution: CS-0177
archive-es-0178	composite	no	no	-	1/4	composite	Archival prosecution: CS-0178
archive-es-0179	composite	no	no	-	2/5	composite	Archival prosecution: CS-0179
archive-nl-0180	composite	no	no	-	1/4	composite	Unsolved matter: CS-0180
archive-be-0181	composite	no	no	-	1/5	composite	Archival prosecution: CS-0181
archive-se-0182	composite	no	no	-	1/5	composite	Archival prosecution: CS-0182
archive-no-0183	composite	no	no	-	1/4	composite	Archival prosecution: CS-0183
archive-pl-0184	composite	no	no	-	2/5	composite	Archival prosecution: CS-0184
archive-pl-0185	composite	no	no	-	2/6	composite	Archival prosecution: CS-0185
archive-ru-0186	composite	no	no	-	3/7	composite	Archival prosecution: CS-0186
archive-ru-0187	composite	no	no	-	1/4	composite	Archival prosecution: CS-0187
archive-ua-0188	composite	no	no	-	2/5	composite	Archival prosecution: CS-0188
archive-ua-0189	composite	no	no	-	1/4	composite	Archival prosecution: CS-0189
archive-jp-0190	composite	no	no	-	1/4	composite	Unsolved matter: CS-0190
archive-jp-0191	composite	no	no	-	1/5	composite	Archival prosecution: CS-0191
archive-cn-0192	composite	no	no	-	1/5	composite	Archival prosecution: CS-0192
archive-cn-0193	composite	no	no	-	2/5	composite	Archival prosecution: CS-0193
archive-in-0194	composite	no	no	-	2/6	composite	Archival prosecution: CS-0194
archive-in-0195	composite	no	no	-	3/7	composite	Archival prosecution: CS-0195
archive-br-0196	composite	no	no	-	1/4	composite	Archival prosecution: CS-0196
archive-br-0197	composite	no	no	-	2/5	composite	Archival prosecution: CS-0197
archive-mx-0198	composite	no	no	-	1/4	composite	Archival prosecution: CS-0198
archive-mx-0199	composite	no	no	-	1/4	composite	Archival prosecution: CS-0199
archive-ar-0200	composite	no	no	-	1/4	composite	Unsolved matter: CS-0200
archive-za-0201	composite	no	no	-	1/5	composite	Archival prosecution: CS-0201
archive-ng-0202	composite	no	no	-	2/6	composite	Archival prosecution: CS-0202
archive-ke-0203	composite	no	no	-	2/6	composite	Archival prosecution: CS-0203
archive-tr-0204	composite	no	no	-	3/7	composite	Archival prosecution: CS-0204
archive-gr-0205	composite	no	no	-	1/4	composite	Archival prosecution: CS-0205
archive-ro-0206	composite	no	no	-	2/5	composite	Archival prosecution: CS-0206
archive-cz-0207	composite	no	no	-	1/4	composite	Archival prosecution: CS-0207
archive-hu-0208	composite	no	no	-	1/4	composite	Archival prosecution: CS-0208
archive-at-0209	composite	no	no	-	1/4	composite	Archival prosecution: CS-0209
archive-ch-0210	composite	no	no	-	1/4	composite	Unsolved matter: CS-0210
archive-pt-0211	composite	no	no	-	2/6	composite	Archival prosecution: CS-0211
archive-ie-0212	composite	no	no	-	2/7	composite	Archival prosecution: CS-0212
archive-fi-0213	composite	no	no	-	3/7	composite	Archival prosecution: CS-0213
archive-dk-0214	composite	no	no	-	1/4	composite	Archival prosecution: CS-0214
archive-nz-0215	composite	no	no	-	2/5	composite	Archival prosecution: CS-0215
archive-kr-0216	composite	no	no	-	1/4	composite	Archival prosecution: CS-0216
archive-th-0217	composite	no	no	-	1/4	composite	Archival prosecution: CS-0217
archive-vn-0218	composite	no	no	-	1/4	composite	Archival prosecution: CS-0218
archive-ph-0219	composite	no	no	-	1/4	composite	Archival prosecution: CS-0219
archive-id-0220	composite	no	no	-	2/5	composite	Unsolved matter: CS-0220
archive-my-0221	composite	no	no	-	2/7	composite	Archival prosecution: CS-0221
archive-sg-0222	composite	no	no	-	3/8	composite	Archival prosecution: CS-0222
archive-pk-0223	composite	no	no	-	1/4	composite	Archival prosecution: CS-0223
archive-ir-0224	composite	no	no	-	2/5	composite	Archival prosecution: CS-0224
archive-iq-0225	composite	no	no	-	1/4	composite	Archival prosecution: CS-0225
archive-il-0226	composite	no	no	-	1/4	composite	Archival prosecution: CS-0226
archive-eg-0227	composite	no	no	-	1/4	composite	Archival prosecution: CS-0227
archive-cl-0228	composite	no	no	-	1/4	composite	Archival prosecution: CS-0228
archive-co-0229	composite	no	no	-	2/5	composite	Archival prosecution: CS-0229
archive-pe-0230	composite	no	no	-	2/6	composite	Unsolved matter: CS-0230
archive-bd-0231	composite	no	no	-	3/8	composite	Archival prosecution: CS-0231
archive-lv-0232	composite	no	no	-	1/5	composite	Archival prosecution: CS-0232
archive-sk-0233	composite	no	no	-	2/5	composite	Archival prosecution: CS-0233
archive-rs-0234	composite	no	no	-	1/4	composite	Archival prosecution: CS-0234
archive-bg-0235	composite	no	no	-	1/4	composite	Archival prosecution: CS-0235
archive-tw-0236	composite	no	no	-	1/4	composite	Archival prosecution: CS-0236
archive-uz-0237	composite	no	no	-	1/4	composite	Archival prosecution: CS-0237
archive-sa-0238	composite	no	no	-	2/5	composite	Archival prosecution: CS-0238
archive-et-0239	composite	no	no	-	2/6	composite	Archival prosecution: CS-0239
archive-us-0240	composite	no	no	-	3/7	composite	Unsolved matter: CS-0240
archive-us-0241	composite	no	no	-	1/5	composite	Archival prosecution: CS-0241
archive-us-0242	composite	no	no	-	2/6	composite	Archival prosecution: CS-0242
archive-us-0243	composite	no	no	-	1/4	composite	Archival prosecution: CS-0243
archive-us-0244	composite	no	no	-	1/4	composite	Archival prosecution: CS-0244
archive-gb-0245	composite	no	no	-	1/4	composite	Archival prosecution: CS-0245
archive-gb-0246	composite	no	no	-	1/4	composite	Archival prosecution: CS-0246
archive-gb-0247	composite	no	no	-	2/5	composite	Archival prosecution: CS-0247
archive-ca-0248	composite	no	no	-	2/6	composite	Archival prosecution: CS-0248
archive-ca-0249	composite	no	no	-	3/7	composite	Archival prosecution: CS-0249
archive-au-0250	composite	no	no	-	1/4	composite	Unsolved matter: CS-0250
archive-au-0251	composite	no	no	-	2/6	composite	Archival prosecution: CS-0251
archive-de-0252	composite	no	no	-	1/5	composite	Archival prosecution: CS-0252
archive-de-0253	composite	no	no	-	1/4	composite	Archival prosecution: CS-0253
archive-fr-0254	composite	no	no	-	1/4	composite	Archival prosecution: CS-0254
archive-fr-0255	composite	no	no	-	1/4	composite	Archival prosecution: CS-0255
archive-it-0256	composite	no	no	-	2/5	composite	Archival prosecution: CS-0256
archive-it-0257	composite	no	no	-	2/6	composite	Archival prosecution: CS-0257
archive-es-0258	composite	no	no	-	3/7	composite	Archival prosecution: CS-0258
archive-es-0259	composite	no	no	-	1/4	composite	Archival prosecution: CS-0259
archive-nl-0260	composite	no	no	-	2/5	composite	Unsolved matter: CS-0260
archive-be-0261	composite	no	no	-	1/5	composite	Archival prosecution: CS-0261
archive-se-0262	composite	no	no	-	1/5	composite	Archival prosecution: CS-0262
archive-no-0263	composite	no	no	-	1/4	composite	Archival prosecution: CS-0263
archive-pl-0264	composite	no	no	-	1/4	composite	Archival prosecution: CS-0264
archive-pl-0265	composite	no	no	-	2/5	composite	Archival prosecution: CS-0265
archive-ru-0266	composite	no	no	-	2/6	composite	Archival prosecution: CS-0266
archive-ru-0267	composite	no	no	-	3/7	composite	Archival prosecution: CS-0267
archive-ua-0268	composite	no	no	-	1/4	composite	Archival prosecution: CS-0268
archive-ua-0269	composite	no	no	-	2/5	composite	Archival prosecution: CS-0269
archive-jp-0270	composite	no	no	-	1/4	composite	Unsolved matter: CS-0270
archive-jp-0271	composite	no	no	-	1/5	composite	Archival prosecution: CS-0271
archive-cn-0272	composite	no	no	-	1/5	composite	Archival prosecution: CS-0272
archive-cn-0273	composite	no	no	-	1/4	composite	Archival prosecution: CS-0273
archive-in-0274	composite	no	no	-	2/5	composite	Archival prosecution: CS-0274
archive-in-0275	composite	no	no	-	2/6	composite	Archival prosecution: CS-0275
archive-br-0276	composite	no	no	-	3/7	composite	Archival prosecution: CS-0276
archive-br-0277	composite	no	no	-	1/4	composite	Archival prosecution: CS-0277
archive-mx-0278	composite	no	no	-	2/5	composite	Archival prosecution: CS-0278
archive-mx-0279	composite	no	no	-	1/4	composite	Archival prosecution: CS-0279
archive-ar-0280	composite	no	no	-	1/4	composite	Unsolved matter: CS-0280
archive-za-0281	composite	no	no	-	1/5	composite	Archival prosecution: CS-0281
archive-ng-0282	composite	no	no	-	1/5	composite	Archival prosecution: CS-0282
archive-ke-0283	composite	no	no	-	2/5	composite	Archival prosecution: CS-0283
archive-tr-0284	composite	no	no	-	2/6	composite	Archival prosecution: CS-0284
archive-gr-0285	composite	no	no	-	3/7	composite	Archival prosecution: CS-0285
