slug	refId	source	status	ok	url	finalUrl	error	citation
harold-shipman	ref-shipman-inquiry	override	200	true	https://en.wikipedia.org/wiki/The_Shipman_Inquiry	https://en.wikipedia.org/wiki/The_Shipman_Inquiry		Dame Janet Smith, The Shipman Inquiry (2001–2005). UK Department of Health.
harold-shipman	ref-shipman-trial	override	200	true	https://en.wikipedia.org/wiki/Harold_Shipman	https://en.wikipedia.org/wiki/Harold_Shipman		R v Harold Shipman (2000) — Preston Crown Court.
ted-kaczynski	ref-kaczynski-trial	override	200	true	https://en.wikipedia.org/wiki/Ted_Kaczynski	https://en.wikipedia.org/wiki/Ted_Kaczynski		United States v. Theodore Kaczynski (1998) — Eastern District of California.
ted-kaczynski	ref-kaczynski-manifesto	override	202	true	https://www.fas.org/irp/agencies/doj/fbi/unabom-manifesto.pdf	https://irp.fas.org/agencies/doj/fbi/unabom-manifesto.pdf		Kaczynski, T. Industrial Society and Its Future (Unabomber manifesto). Washington Post / NYT publication (1995).
charles-manson	ref-manson-trial	override	200	true	https://en.wikipedia.org/wiki/Charles_Manson	https://en.wikipedia.org/wiki/Charles_Manson		California v. Charles Manson et al. (1970–1971) — Tate-LaBianca murders.
zodiac-killer	ref-zodiac-sf	override	200	true	https://en.wikipedia.org/wiki/Zodiac_Killer#Letters	https://en.wikipedia.org/wiki/Zodiac_Killer		San Francisco Chronicle Zodiac letter archive (1969–1974).
zodiac-killer	ref-zodiac-fbi	override	200	true	https://en.wikipedia.org/wiki/Zodiac_Killer#Investigation	https://en.wikipedia.org/wiki/Zodiac_Killer		FBI / public record summaries — Zodiac Killer investigation.
timothy-mcveigh	ref-mcveigh-trial	override	200	true	https://en.wikipedia.org/wiki/Oklahoma_City_bombing	https://en.wikipedia.org/wiki/Oklahoma_City_bombing		United States v. Timothy James McVeigh (1997) — Oklahoma City bombing.
timothy-mcveigh	ref-mcveigh-ok-report	override	200	true	https://memorialmuseum.com/museum/about-us/	https://memorialmuseum.com/museum/about-us/		Oklahoma City National Memorial & Museum — bombing history and victim resources.
dennis-nilsen	ref-nilsen-trial	override	200	true	https://en.wikipedia.org/wiki/Dennis_Nilsen	https://en.wikipedia.org/wiki/Dennis_Nilsen		R v Dennis Nilsen (1983) — Old Bailey, Muswell Hill murders.
robert-pickton	ref-pickton-trial	override	200	true	https://en.wikipedia.org/wiki/Robert_Pickton	https://en.wikipedia.org/wiki/Robert_Pickton		R v Robert Pickton (2007) — British Columbia Supreme Court.
robert-pickton	ref-pickton-inquiry	override	200	true	https://en.wikipedia.org/wiki/Missing_Women_Commission_of_Inquiry	https://en.wikipedia.org/wiki/Missing_Women_Commission_of_Inquiry		Missing Women Commission of Inquiry (Oppal Commission), British Columbia (2012).
ian-brady-myra-hindley	ref-moors-trial	override	200	true	https://en.wikipedia.org/wiki/Moors_murders	https://en.wikipedia.org/wiki/Moors_murders		R v Ian Brady and Myra Hindley (1966) — Chester Assizes, Moors Murders.
ian-brady-myra-hindley	ref-moors-report	override	200	true	https://en.wikipedia.org/wiki/Moors_murders#Media	https://en.wikipedia.org/wiki/Moors_murders		Moors Murders — media coverage and public record.
josef-fritzl	ref-fritzl-trial	override	200	true	https://en.wikipedia.org/wiki/Fritzl_case	https://en.wikipedia.org/wiki/Fritzl_case		Landesgericht St. Pölten, R v Josef Fritzl (2009).
josef-fritzl	ref-fritzl-standard	override	200	true	https://www.derstandard.at/story/3000000219969/inzestfall-amstetten-josef-fritzl-soll-in-normalvollzug-verlegt-werden	https://www.derstandard.at/consent/tcf/story/3000000219969/inzestfall-amstetten-josef-fritzl-soll-in-normalvollzug-verlegt-werden		Der Standard — Amstetten case reporting archive.
samuel-little	ref-little-fbi	override	200	true	https://en.wikipedia.org/wiki/Samuel_Little#Confession	https://en.wikipedia.org/wiki/Samuel_Little		Samuel Little — nationwide confessions and victim identification project (2018–2020).
samuel-little	ref-little-texas	override	200	true	https://en.wikipedia.org/wiki/Samuel_Little	https://en.wikipedia.org/wiki/Samuel_Little		Texas Department of Criminal Justice — Samuel Little conviction (2014).
anders-breivik	ref-breivik-trial	override	200	true	https://en.wikipedia.org/wiki/2011_Norway_attacks	https://en.wikipedia.org/wiki/2011_Norway_attacks		Oslo District Court, R v Anders Behring Breivik (2012).
anders-breivik	ref-breivik-report	override	200	true	https://en.wikipedia.org/wiki/2011_Norway_attacks#Aftermath	https://en.wikipedia.org/wiki/2011_Norway_attacks		Gjørv Commission Report — 22 July attacks in Norway (official government review).
gary-ridgway	ref-ridgway-plea	override	200	true	https://en.wikipedia.org/wiki/Gary_Ridgway	https://en.wikipedia.org/wiki/Gary_Ridgway		Washington v. Gary Ridgway (2003) — King County guilty plea.
aileen-wuornos	ref-wuornos-trial	override	200	true	https://en.wikipedia.org/wiki/Aileen_Wuornos	https://en.wikipedia.org/wiki/Aileen_Wuornos		Florida v. Aileen Wuornos (1992–2002) — Marion County murder trials.
aileen-wuornos	ref-wuornos-doc	override	200	true	https://en.wikipedia.org/wiki/Aileen_Wuornos#Documentaries	https://en.wikipedia.org/wiki/Aileen_Wuornos		Nick Broomfield documentaries Aileen Wuornos: The Selling of a Serial Killer (1992) and Aileen: Life and Death of a Serial Killer (2003).
louay-al-taei	ref-altaei-guardian	override	200	true	https://www.theguardian.com/world/2006/apr/17/iraq.topstories3	https://www.theguardian.com/world/2006/apr/17/iraq.topstories3		Howard, M. (17 Apr 2006). I made a mixture of drugs and injected them. The Guardian.
louay-al-taei	ref-altaei-independent	override	200	true	https://www.independent.co.uk/news/world/middle-east/insurgent-doctor-killed-dozens-of-wounded-soldiers-6105814.html	https://www.independent.co.uk/news/world/middle-east/insurgent-doctor-killed-dozens-of-wounded-soldiers-6105814.html		The Independent (23 Mar 2006). Insurgent doctor killed dozens of wounded soldiers.
krzysztof-gawlik	ref-gawlik-rmf	override	200	true	https://pl.wikipedia.org/wiki/Krzysztof_Gawlik	https://pl.wikipedia.org/wiki/Krzysztof_Gawlik		RMF24 — Dożywocie dla pięciokrotnego mordercy Krzysztofa Gawlika ('Skorpion'), 2002.
werner-ferrari	ref-ferrari-wiki	override	200	true	https://de.wikipedia.org/wiki/Werner_Ferrari	https://de.wikipedia.org/wiki/Werner_Ferrari		Swiss Federal criminal proceedings — Werner Ferrari life sentence (1995).
le-thanh-van	ref-van-bbc	override	200	true	http://news.bbc.co.uk/2/hi/asia-pacific/3597358.stm	http://news.bbc.co.uk/2/hi/asia-pacific/3597358.stm		BBC News (25 Aug 2004). Vietnamese serial killer on trial — Le Thanh Van, Binh Duong.
olga-heparnova	ref-heparnova-court	override	200	true	https://en.wikipedia.org/wiki/Olga_Hepnarov%C3%A1	https://en.wikipedia.org/wiki/Olga_Hepnarov%C3%A1		City Court of Prague (6 Apr 1974) — Olga Hepnarová public endangerment/murder conviction.
julio-perez-silva	ref-perez-silva-lt	override	200	true	https://es.wikipedia.org/wiki/Julio_P%C3%A9rez_Silva	https://es.wikipedia.org/wiki/Julio_P%C3%A9rez_Silva		Julio Pérez Silva — Psicópata de Alto Hospicio case record (2001–2004).
juan-severino-mallari	ref-mallari-wiki	override	200	true	https://en.wikipedia.org/wiki/Juan_Severino_Mallari	https://en.wikipedia.org/wiki/Juan_Severino_Mallari		Spanish colonial judicial records — Juan Severino Mallari execution (1840, Manila).
ion-rimaru	ref-rimaru-execution	override	200	true	https://ro.wikipedia.org/wiki/Ion_R%C3%AEmaru	https://ro.wikipedia.org/wiki/Ion_R%C3%AEmaru		Romanian People's Republic — Ion Rîmaru execution (23 Oct 1971, Jilava).
medeni-oztas	ref-oztas-hurriyet	override	200	true	https://www.hurriyet.com.tr/gundem/seri-katil-mahkum-cikti-43282057	https://www.hurriyet.com.tr/gundem/seri-katil-mahkum-cikti-43282057		Hürriyet (2026) — Ankara 2015 serial bludgeoning series linked to Medeni Öztaş.
sture-bergwall	ref-bergwall-doc	override	200	true	https://en.wikipedia.org/wiki/Sture_Bergwall	https://en.wikipedia.org/wiki/Sture_Bergwall		Hannes Holm documentary The Confessions of Thomas Quick (2016).
david-bain	ref-bain-retrial	override	200	true	https://en.wikipedia.org/wiki/David_Bain	https://en.wikipedia.org/wiki/David_Bain		R v David Bain (2009 retrial) — Christchurch High Court acquittal.
karol-kot	ref-kot-wiki	override	200	true	https://pl.wikipedia.org/wiki/Karol_Kot	https://pl.wikipedia.org/wiki/Karol_Kot		Polish Wikipedia / Newsweek Polska — Karol Kot (Wampir z Krakowa), 1964–1968.
antonis-daglis	ref-daglis-wiki	override	200	true	https://en.wikipedia.org/wiki/Antonis_Daglis	https://en.wikipedia.org/wiki/Antonis_Daglis		Athens Mixed Jury Court (23 Jan 1997) — Antonis Daglis, 3 murders, 6 attempted.
andras-pandy	ref-pandy-lalibre	override	200	true	https://en.wikipedia.org/wiki/Andr%C3%A1s_P%C3%A1ndy	https://en.wikipedia.org/wiki/Andr%C3%A1s_P%C3%A1ndy		La Libre (6 Mar 2002) — Andras Pandy life sentence, Brussels Court of Assizes.
le-van-luyen	ref-luyen-wiki	override	200	true	https://vi.wikipedia.org/wiki/L%C3%AA_V%C4%83n_Luy%E1%BB%87n	https://vi.wikipedia.org/wiki/L%C3%AA_V%C4%83n_Luy%E1%BB%87n		Bắc Giang People's Court (11 Jan 2012) — Lê Văn Luyện, Ngọc Bích gold shop murders.
somkid-pumpuang	ref-somkid-bkkpost	override	200	true	https://en.wikipedia.org/wiki/Somkid_Pumpuang	https://en.wikipedia.org/wiki/Somkid_Pumpuang		Bangkok Post / Nation Thailand — Somkid Pumpuang death sentence (2021) for 2019 murder.
romulus-veres	ref-veres-wiki	override	200	true	https://ro.wikipedia.org/wiki/Romulus_Vere%C8%99	https://ro.wikipedia.org/wiki/Romulus_Vere%C8%99		Romanian Wikipedia / Adevărul — Romulus Vereș, 'Man with the Hammer', Cluj 1972–1974.
andrei-chikatilo	ref-chikatilo-trial	override	200	true	https://en.wikipedia.org/wiki/Andrei_Chikatilo	https://en.wikipedia.org/wiki/Andrei_Chikatilo		Rostov-on-Don serial murder trial (1992) — Andrei Chikatilo, 52 murder counts.
peter-sutcliffe	ref-sutcliffe-trial	override	200	true	https://en.wikipedia.org/wiki/Peter_Sutcliffe	https://en.wikipedia.org/wiki/Peter_Sutcliffe		R v Peter Sutcliffe (1981) — Yorkshire Ripper murder series.
marc-dutroux	ref-dutroux-trial	override	200	true	https://en.wikipedia.org/wiki/Marc_Dutroux	https://en.wikipedia.org/wiki/Marc_Dutroux		Belgian trial of Marc Dutroux et al. (2004) — Charleroi kidnappings.
ivan-milat	ref-milat-trial	override	200	true	https://en.wikipedia.org/wiki/Ivan_Milat	https://en.wikipedia.org/wiki/Ivan_Milat		R v Ivan Milat (1996) — Backpacker murders, New South Wales.
martin-bryant	ref-bryant-trial	override	200	true	https://en.wikipedia.org/wiki/Port_Arthur_massacre	https://en.wikipedia.org/wiki/Port_Arthur_massacre		Port Arthur massacre inquest and R v Martin Bryant (1996).
fred-west	ref-west-trial	override	200	true	https://en.wikipedia.org/wiki/Fred_West	https://en.wikipedia.org/wiki/Fred_West		Operation Onward — Fred and Rosemary West investigations (1994).
paul-bernardo	ref-bernardo-trial	override	200	true	https://en.wikipedia.org/wiki/Paul_Bernardo	https://en.wikipedia.org/wiki/Paul_Bernardo		R v Paul Bernardo and Karla Homolka (1995) — Ontario murder series.
dean-corll	ref-corll-case	override	200	true	https://en.wikipedia.org/wiki/Dean_Corll	https://en.wikipedia.org/wiki/Dean_Corll		Houston mass murders (1970–1973) — Dean Corll and accomplices.
richard-chase	ref-chase-trial	override	200	true	https://en.wikipedia.org/wiki/Richard_Chase	https://en.wikipedia.org/wiki/Richard_Chase		California v. Richard Chase (1979) — Sacramento vampire murders.
albert-fish	ref-fish-trial	override	200	true	https://en.wikipedia.org/wiki/Albert_Fish	https://en.wikipedia.org/wiki/Albert_Fish		People v. Albert Fish (1935) — Grace Budd murder trial.
hh-holmes	ref-holmes-trial	override	200	true	https://en.wikipedia.org/wiki/H._H._Holmes	https://en.wikipedia.org/wiki/H._H._Holmes		People v. H. H. Holmes (1895) — Chicago 'Murder Castle' trial.
wayne-williams	ref-williams-trial	override	200	true	https://en.wikipedia.org/wiki/Wayne_Williams	https://en.wikipedia.org/wiki/Wayne_Williams		Georgia v. Wayne Williams (1982) — Atlanta child murders.
alexander-pichushkin	ref-pichushkin-1	multilingual-ref	200	true	https://en.wikipedia.org/wiki/Alexander_Pichushkin	https://en.wikipedia.org/wiki/Alexander_Pichushkin		NTV and Kommersant trial archives on the Bitsevsky Park murders (2006–2007).
alexander-pichushkin	NTV — Pichushkin trial coverage (English summary pointer)	multilingual-source	200	true	https://en.wikipedia.org/wiki/Alexander_Pichushkin	https://en.wikipedia.org/wiki/Alexander_Pichushkin		NTV — Pichushkin trial coverage (English summary pointer)
gao-chengyong	ref-gao-1	multilingual-ref	200	true	https://en.wikipedia.org/wiki/Gao_Chengyong	https://en.wikipedia.org/wiki/Gao_Chengyong		Xinhua (2016–2019): Gao Chengyong identified via DNA, sentenced and executed.
gao-chengyong	Xinhua News Agency — Baiyin case report	multilingual-source	200	true	https://en.wikipedia.org/wiki/Gao_Chengyong	https://en.wikipedia.org/wiki/Gao_Chengyong		Xinhua News Agency — Baiyin case report
niels-hoegel	ref-hoegel-1	multilingual-ref	200	true	https://en.wikipedia.org/wiki/Niels_H%C3%B6gel	https://en.wikipedia.org/wiki/Niels_H%C3%B6gel		Süddeutsche Zeitung & Spiegel investigative series on Högel (2014–2019).
niels-hoegel	Der Spiegel — Högel case archive	multilingual-source	200	true	https://en.wikipedia.org/wiki/Niels_H%C3%B6gel	https://en.wikipedia.org/wiki/Niels_H%C3%B6gel		Der Spiegel — Högel case archive
henri-landru	ref-landru-1	multilingual-ref	200	true	https://en.wikipedia.org/wiki/Henri_D%C3%A9sir%C3%A9_Landru	https://en.wikipedia.org/wiki/Henri_D%C3%A9sir%C3%A9_Landru		French court records, Procès Landru, Versailles 1921.
henri-landru	Le Figaro — Landru trial archives	multilingual-source	200	true	https://en.wikipedia.org/wiki/Henri_D%C3%A9sir%C3%A9_Landru	https://en.wikipedia.org/wiki/Henri_D%C3%A9sir%C3%A9_Landru		Le Figaro — Landru trial archives
auto-shankar	ref-shankar-1	multilingual-ref	200	true	https://en.wikipedia.org/wiki/Auto_Shankar	https://en.wikipedia.org/wiki/Auto_Shankar		Tamil Nadu trial records; Dinamalar archive on Auto Shankar (1988–1995).
auto-shankar	The Hindu — Auto Shankar case (English)	multilingual-source	200	true	https://en.wikipedia.org/wiki/Auto_Shankar	https://en.wikipedia.org/wiki/Auto_Shankar		The Hindu — Auto Shankar case (English)
karol-kot	ref-kot-1	multilingual-ref	200	true	https://pl.wikipedia.org/wiki/Karol_Kot	https://pl.wikipedia.org/wiki/Karol_Kot		Kraków District Court, Karol Kot judgment (14 July 1967).
karol-kot	Newsweek Polska — Karol Kot archive	multilingual-source	200	true	https://pl.wikipedia.org/wiki/Karol_Kot	https://pl.wikipedia.org/wiki/Karol_Kot		Newsweek Polska — Karol Kot archive
john-ausonius	ref-ausonius-1	multilingual-ref	200	true	https://en.wikipedia.org/wiki/John_Ausonius	https://en.wikipedia.org/wiki/John_Ausonius		Stockholm District Court, John Ausonius judgment (1994).
john-ausonius	Dagens Nyheter — Lasermannen archive	multilingual-source	200	true	https://en.wikipedia.org/wiki/John_Ausonius	https://en.wikipedia.org/wiki/John_Ausonius		Dagens Nyheter — Lasermannen archive
akira-nishiguchi	ref-nishiguchi-1	multilingual-ref	200	true	https://en.wikipedia.org/wiki/Akira_Nishiguchi	https://en.wikipedia.org/wiki/Akira_Nishiguchi		Asahi Shimbun reporting on the Fukuoka family murders (1963).
akira-nishiguchi	Asahi Shimbun — Nishiguchi case archive	multilingual-source	200	true	https://en.wikipedia.org/wiki/Akira_Nishiguchi	https://en.wikipedia.org/wiki/Akira_Nishiguchi		Asahi Shimbun — Nishiguchi case archive
donato-bilancia	ref-bilancia-1	multilingual-ref	200	true	https://en.wikipedia.org/wiki/Donato_Bilancia	https://en.wikipedia.org/wiki/Donato_Bilancia		Corriere della Sera trial coverage, Bilancia convictions (2000).
donato-bilancia	La Repubblica — Bilancia case	multilingual-source	200	true	https://en.wikipedia.org/wiki/Donato_Bilancia	https://en.wikipedia.org/wiki/Donato_Bilancia		La Repubblica — Bilancia case
alcasser-girls	ref-alcasser-1	multilingual-ref	200	true	https://en.wikipedia.org/wiki/Alc%C3%A0sser_Girls	https://en.wikipedia.org/wiki/Alc%C3%A0sser_Girls		Audiencia Provincial de Valencia, Alcàsser case proceedings (1990s).
alcasser-girls	El País — Caso Alcàsser archive	multilingual-source	200	true	https://en.wikipedia.org/wiki/Alc%C3%A0sser_Girls	https://en.wikipedia.org/wiki/Alc%C3%A0sser_Girls		El País — Caso Alcàsser archive
anatoly-onoprienko	ref-onoprienko-1	multilingual-ref	200	true	https://en.wikipedia.org/wiki/Anatoly_Onoprienko	https://en.wikipedia.org/wiki/Anatoly_Onoprienko		Ukrainian Supreme Court materials on Onoprienko (1999).
anatoly-onoprienko	Ukrinform — Onoprienko trial	multilingual-source	200	true	https://en.wikipedia.org/wiki/Anatoly_Onoprienko	https://en.wikipedia.org/wiki/Anatoly_Onoprienko		Ukrinform — Onoprienko trial
mikhail-popkov	ref-popkov-1	multilingual-ref	200	true	https://en.wikipedia.org/wiki/Mikhail_Popkov	https://en.wikipedia.org/wiki/Mikhail_Popkov		Irkutsk Regional Court, Popkov convictions (2015–2020).
mikhail-popkov	RIA Novosti — Popkov case	multilingual-source	200	true	https://en.wikipedia.org/wiki/Mikhail_Popkov	https://en.wikipedia.org/wiki/Mikhail_Popkov		RIA Novosti — Popkov case
ahmad-suradji	ref-suradji-1	multilingual-ref	200	true	https://en.wikipedia.org/wiki/Ahmad_Suradji	https://en.wikipedia.org/wiki/Ahmad_Suradji		Tempo & Kompas archives on North Sumatra serial murders (1997–2008).
ahmad-suradji	Kompas — Ahmad Suradji coverage	multilingual-source	200	true	https://en.wikipedia.org/wiki/Ahmad_Suradji	https://en.wikipedia.org/wiki/Ahmad_Suradji		Kompas — Ahmad Suradji coverage
tiago-henrique-rocha	ref-tiago-1	multilingual-ref	200	true	https://en.wikipedia.org/wiki/Tiago_Henrique_Gomes_da_Rocha	https://en.wikipedia.org/wiki/Tiago_Henrique_Gomes_da_Rocha		Goiás court records; O Globo coverage (2014–2016).
tiago-henrique-rocha	G1 Globo — Tiago Henrique case	multilingual-source	200	true	https://en.wikipedia.org/wiki/Tiago_Henrique_Gomes_da_Rocha	https://en.wikipedia.org/wiki/Tiago_Henrique_Gomes_da_Rocha		G1 Globo — Tiago Henrique case
armin-meiwes	ref-meiwes-1	multilingual-ref	200	true	https://en.wikipedia.org/wiki/Armin_Meiwes	https://en.wikipedia.org/wiki/Armin_Meiwes		LG Frankfurt / BGH judgments in Meiwes case (2004–2006).
armin-meiwes	Der Spiegel — Rotenburg cannibal case	multilingual-source	200	true	https://en.wikipedia.org/wiki/Armin_Meiwes	https://en.wikipedia.org/wiki/Armin_Meiwes		Der Spiegel — Rotenburg cannibal case
pedro-lopez-colombia	ref-plopez-1	multilingual-ref	200	true	https://en.wikipedia.org/wiki/Pedro_L%C3%B3pez_(serial_killer)	https://en.wikipedia.org/wiki/Pedro_L%C3%B3pez_(serial_killer)		Ecuadorian investigative files on Pedro López (1980).
pedro-lopez-colombia	El Tiempo — López case retrospective	multilingual-source	200	true	https://en.wikipedia.org/wiki/Pedro_L%C3%B3pez_(serial_killer)	https://en.wikipedia.org/wiki/Pedro_L%C3%B3pez_(serial_killer)		El Tiempo — López case retrospective
javed-iqbal-urdu	ref-jiqbal-1	multilingual-ref	200	true	https://en.wikipedia.org/wiki/Javed_Iqbal_(serial_killer)	https://en.wikipedia.org/wiki/Javed_Iqbal_(serial_killer)		Lahore police files; Jang newspaper archive (1999).
javed-iqbal-urdu	Dawn — Javed Iqbal case (English)	multilingual-source	200	true	https://en.wikipedia.org/wiki/Javed_Iqbal_(serial_killer)	https://en.wikipedia.org/wiki/Javed_Iqbal_(serial_killer)		Dawn — Javed Iqbal case (English)
kaspars-petrovs	ref-petrov-1	multilingual-ref	200	true	https://en.wikipedia.org/wiki/Kaspars_Petrovs	https://en.wikipedia.org/wiki/Kaspars_Petrovs		Latvian Supreme Court, Petrovs case (2005).
umesh-reddy	ref-umesh-1	multilingual-ref	200	true	https://en.wikipedia.org/wiki/Umesh_Reddy	https://en.wikipedia.org/wiki/Umesh_Reddy		Karnataka High Court judgments on Umesh Reddy (2000s).
umesh-reddy	Deccan Herald — Umesh Reddy case	multilingual-source	200	true	https://en.wikipedia.org/wiki/Umesh_Reddy	https://en.wikipedia.org/wiki/Umesh_Reddy		Deccan Herald — Umesh Reddy case
mamoru-takuma	ref-takuma-1	multilingual-ref	200	true	https://en.wikipedia.org/wiki/Mamoru_Takuma	https://en.wikipedia.org/wiki/Mamoru_Takuma		Osaka District Court, Takuma judgment (2003).
mamoru-takuma	Mainichi Shimbun — Ikeda school attack	multilingual-source	200	true	https://en.wikipedia.org/wiki/Mamoru_Takuma	https://en.wikipedia.org/wiki/Mamoru_Takuma		Mainichi Shimbun — Ikeda school attack
richard-klinkhamer	ref-klinkhamer-1	multilingual-ref	200	true	https://en.wikipedia.org/wiki/Richard_Klinkhamer	https://en.wikipedia.org/wiki/Richard_Klinkhamer		Dutch court records; NRC archive on Klinkhamer (1990s–2000s).
richard-klinkhamer	NRC — Klinkhamer case	multilingual-source	200	true	https://en.wikipedia.org/wiki/Richard_Klinkhamer	https://en.wikipedia.org/wiki/Richard_Klinkhamer		NRC — Klinkhamer case
louay-al-taei	ref-altaei-1	multilingual-ref	200	true	https://www.theguardian.com/world/2006/apr/17/iraq.topstories3	https://www.theguardian.com/world/2006/apr/17/iraq.topstories3		The Guardian (17 Apr 2006) — reporting on Kirkuk police investigation of Dr Louay al-Taei.
louay-al-taei	ref-altaei-2	multilingual-ref	200	true	https://www.independent.co.uk/news/world/middle-east/insurgent-doctor-killed-dozens-of-wounded-soldiers-6105814.html	https://www.independent.co.uk/news/world/middle-east/insurgent-doctor-killed-dozens-of-wounded-soldiers-6105814.html		The Independent (23 Mar 2006) — Insurgent doctor killed dozens of wounded soldiers.
louay-al-taei	The Guardian — Kirkuk doctor death case	multilingual-source	200	true	https://www.theguardian.com/world/2006/apr/17/iraq.topstories3	https://www.theguardian.com/world/2006/apr/17/iraq.topstories3		The Guardian — Kirkuk doctor death case
louay-al-taei	The Independent — insurgent doctor report	multilingual-source	200	true	https://www.independent.co.uk/news/world/middle-east/insurgent-doctor-killed-dozens-of-wounded-soldiers-6105814.html	https://www.independent.co.uk/news/world/middle-east/insurgent-doctor-killed-dozens-of-wounded-soldiers-6105814.html		The Independent — insurgent doctor report
kang-ho-sun	ref-kang-1	multilingual-ref	200	true	https://en.wikipedia.org/wiki/Kang_Ho-sun	https://en.wikipedia.org/wiki/Kang_Ho-sun		Supreme Court of Korea, Kang Ho-sun appeal (2009–2010).
kang-ho-sun	Yonhap — Kang Ho-sun case coverage	multilingual-source	200	true	https://en.wikipedia.org/wiki/Kang_Ho-sun	https://en.wikipedia.org/wiki/Kang_Ho-sun		Yonhap — Kang Ho-sun case coverage
somkid-pumpuang	ref-somkid-1	multilingual-ref	200	true	https://en.wikipedia.org/wiki/Somkid_Pumpuang	https://en.wikipedia.org/wiki/Somkid_Pumpuang		Khon Kaen Provincial Court, Pumpuang (2021); 2005 life sentence for five murders.
somkid-pumpuang	Bangkok Post — Somkid Pumpuang trial	multilingual-source	200	true	https://en.wikipedia.org/wiki/Somkid_Pumpuang	https://en.wikipedia.org/wiki/Somkid_Pumpuang		Bangkok Post — Somkid Pumpuang trial
juha-valjakkala	ref-valjakkala-1	multilingual-ref	200	true	https://en.wikipedia.org/wiki/Juha_Valjakkala	https://en.wikipedia.org/wiki/Juha_Valjakkala		Helsinki Court of Appeal, Valjakkala (1990s).
juha-valjakkala	Helsingin Sanomat — Valjakkala case	multilingual-source	200	true	https://en.wikipedia.org/wiki/Juha_Valjakkala	https://en.wikipedia.org/wiki/Juha_Valjakkala		Helsingin Sanomat — Valjakkala case
